flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': 16, 'scheduled': '2024-09-16T00:55:00+00:00', 'estimated': '2024-09-16T00:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Abu Dhabi International', 'timezone': 'Asia/Dubai', 'iata': 'AUH', 'icao': 'OMAA', 'terminal': 'A', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:40:00+00:00', 'estimated': '2024-09-16T05:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'flynas', 'iata': 'XY', 'icao': 'KNE'}","{'number': '3859', 'iata': 'XY3859', 'icao': 'KNE3859', 'codeshared': {'airline_name': 'etihad airways', 'airline_iata': 'ey', 'airline_icao': 'etd', 'flight_number': '859', 'flight_iata': 'ey859', 'flight_icao': 'etd859'}}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': 16, 'scheduled': '2024-09-16T00:55:00+00:00', 'estimated': '2024-09-16T00:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Abu Dhabi International', 'timezone': 'Asia/Dubai', 'iata': 'AUH', 'icao': 'OMAA', 'terminal': 'A', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:40:00+00:00', 'estimated': '2024-09-16T05:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Oman Air', 'iata': 'WY', 'icao': 'OMA'}","{'number': '5127', 'iata': 'WY5127', 'icao': 'OMA5127', 'codeshared': {'airline_name': 'etihad airways', 'airline_iata': 'ey', 'airline_icao': 'etd', 'flight_number': '859', 'flight_iata': 'ey859', 'flight_icao': 'etd859'}}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': 16, 'scheduled': '2024-09-16T00:55:00+00:00', 'estimated': '2024-09-16T00:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Abu Dhabi International', 'timezone': 'Asia/Dubai', 'iata': 'AUH', 'icao': 'OMAA', 'terminal': 'A', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:40:00+00:00', 'estimated': '2024-09-16T05:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Royal Jordanian', 'iata': 'RJ', 'icao': 'RJA'}","{'number': '3632', 'iata': 'RJ3632', 'icao': 'RJA3632', 'codeshared': {'airline_name': 'etihad airways', 'airline_iata': 'ey', 'airline_icao': 'etd', 'flight_number': '859', 'flight_iata': 'ey859', 'flight_icao': 'etd859'}}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': 16, 'scheduled': '2024-09-16T00:55:00+00:00', 'estimated': '2024-09-16T00:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Abu Dhabi International', 'timezone': 'Asia/Dubai', 'iata': 'AUH', 'icao': 'OMAA', 'terminal': 'A', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:40:00+00:00', 'estimated': '2024-09-16T05:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Asiana Airlines', 'iata': 'OZ', 'icao': 'AAR'}","{'number': '6968', 'iata': 'OZ6968', 'icao': 'AAR6968', 'codeshared': {'airline_name': 'etihad airways', 'airline_iata': 'ey', 'airline_icao': 'etd', 'flight_number': '859', 'flight_iata': 'ey859', 'flight_icao': 'etd859'}}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:50:00+00:00', 'estimated': '2024-09-16T00:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:05:00+00:00', 'estimated': '2024-09-16T02:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Asiana Airlines', 'iata': 'OZ', 'icao': 'AAR'}","{'number': '987', 'iata': 'OZ987', 'icao': 'AAR987', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:50:00+00:00', 'estimated': '2024-09-16T00:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:10:00+00:00', 'estimated': '2024-09-16T02:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Asiana Airlines', 'iata': 'OZ', 'icao': 'AAR'}","{'number': '947', 'iata': 'OZ947', 'icao': 'AAR947', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:45:00+00:00', 'estimated': '2024-09-16T00:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Ninoy Aquino International', 'timezone': 'Asia/Manila', 'iata': 'MNL', 'icao': 'RPLL', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T04:00:00+00:00', 'estimated': '2024-09-16T04:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Cebu Pacific Air', 'iata': '5J', 'icao': 'CEB'}","{'number': '187', 'iata': '5J187', 'icao': 'CEB187', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:40:00+00:00', 'estimated': '2024-09-16T00:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:00:00+00:00', 'estimated': '2024-09-16T02:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Atlas Air', 'iata': '5Y', 'icao': 'GTI'}","{'number': '517', 'iata': '5Y517', 'icao': 'GTI517', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:05:00+00:00', 'estimated': '2024-09-16T05:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Central Airlines', 'iata': 'I9', 'icao': 'HLF'}","{'number': '9815', 'iata': 'I99815', 'icao': 'HLF9815', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Irkutsk', 'timezone': 'Asia/Irkutsk', 'iata': 'IKT', 'icao': 'UIII', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'New Ulaanbaator International Airport', 'timezone': None, 'iata': 'UBN', 'icao': 'ZMCK', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T01:00:00+00:00', 'estimated': '2024-09-16T01:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'IrAero', 'iata': 'IO', 'icao': 'IAE'}","{'number': '230', 'iata': 'IO230', 'icao': 'IAE230', 'codeshared': None}",,
